n_fold,k,score_function,algorithm,accuracy,precision,recall,f-measure
0,1,chi2,NaiveBayes,0.7410071942446043,0.7872231453425862,0.737706880652311,0.728353509581456
0,1,chi2,KNN,0.5080935251798561,0.25404676258992803,0.5,0.3369111508646392
0,1,chi2,RandomForest,0.7410071942446043,0.7872231453425862,0.737706880652311,0.728353509581456
0,1,chi2,LogisticRegression,0.7410071942446043,0.7872231453425862,0.737706880652311,0.728353509581456
0,1,chi2,DecisionTree,0.7410071942446043,0.7872231453425862,0.737706880652311,0.728353509581456
0,1,chi2,SimpleLogistic,0.7410071942446043,0.7872231453425862,0.737706880652311,0.728353509581456
0,1,chi2,JRIP,0.5071942446043165,0.2538253825382538,0.49911504424778763,0.33651551312649164
1,1,chi2,NaiveBayes,0.7401079136690647,0.7848828593868085,0.7493425895002384,0.7338133012176727
1,1,chi2,KNN,0.47571942446043164,0.23785971223021582,0.5,0.3223644119439366
1,1,chi2,RandomForest,0.7401079136690647,0.7848828593868085,0.7493425895002384,0.7338133012176727
1,1,chi2,LogisticRegression,0.7401079136690647,0.7848828593868085,0.7493425895002384,0.7338133012176727
1,1,chi2,DecisionTree,0.7401079136690647,0.7848828593868085,0.7493425895002384,0.7338133012176727
1,1,chi2,SimpleLogistic,0.7401079136690647,0.7848828593868085,0.7493425895002384,0.7338133012176727
1,1,chi2,JRIP,0.4748201438848921,0.2376237623762376,0.499054820415879,0.32195121951219513
2,1,chi2,NaiveBayes,0.7598920863309353,0.8014291512511903,0.7504385438722208,0.7463432137685337
2,1,chi2,KNN,0.5242805755395683,0.26214028776978415,0.5,0.343952802359882
2,1,chi2,RandomForest,0.7598920863309353,0.8014291512511903,0.7504385438722208,0.7463432137685337
2,1,chi2,LogisticRegression,0.7598920863309353,0.8014291512511903,0.7504385438722208,0.7463432137685337
2,1,chi2,DecisionTree,0.7598920863309353,0.8014291512511903,0.7504385438722208,0.7463432137685337
2,1,chi2,SimpleLogistic,0.7598920863309353,0.8014291512511903,0.7504385438722208,0.7463432137685337
2,1,chi2,JRIP,0.5233812949640287,0.2619261926192619,0.49914236706689535,0.3435655253837072
3,1,chi2,NaiveBayes,0.72931654676259,0.7731042404518044,0.7307453416149068,0.7188047909846016
3,1,chi2,KNN,0.49640287769784175,0.24820143884892087,0.5,0.3317307692307692
3,1,chi2,RandomForest,0.72931654676259,0.7731042404518044,0.7307453416149068,0.7188047909846016
3,1,chi2,LogisticRegression,0.72931654676259,0.7731042404518044,0.7307453416149068,0.7188047909846016
3,1,chi2,DecisionTree,0.72931654676259,0.7731042404518044,0.7307453416149068,0.7188047909846016
3,1,chi2,SimpleLogistic,0.72931654676259,0.7731042404518044,0.7307453416149068,0.7188047909846016
3,1,chi2,JRIP,0.49550359712230213,0.247974797479748,0.4990942028985507,0.3313289236319904
4,1,chi2,NaiveBayes,0.7320143884892086,0.781484303565986,0.7393112562189055,0.7234218714527997
4,1,chi2,KNN,0.48201438848920863,0.24100719424460432,0.5,0.3252427184466019
4,1,chi2,RandomForest,0.7320143884892086,0.781484303565986,0.7393112562189055,0.7234218714527997
4,1,chi2,LogisticRegression,0.7320143884892086,0.781484303565986,0.7393112562189055,0.7234218714527997
4,1,chi2,DecisionTree,0.7320143884892086,0.781484303565986,0.7393112562189055,0.7234218714527997
4,1,chi2,SimpleLogistic,0.7320143884892086,0.781484303565986,0.7393112562189055,0.7234218714527997
4,1,chi2,JRIP,0.48111510791366907,0.24077407740774076,0.49906716417910446,0.32483302975106254
5,1,chi2,NaiveBayes,0.7401079136690647,0.789820196853445,0.7419551552678487,0.7294205706308732
5,1,chi2,KNN,0.49550359712230213,0.24775179856115107,0.5,0.3313289236319904
5,1,chi2,RandomForest,0.7401079136690647,0.789820196853445,0.7419551552678487,0.7294205706308732
5,1,chi2,LogisticRegression,0.7401079136690647,0.789820196853445,0.7419551552678487,0.7294205706308732
5,1,chi2,DecisionTree,0.7401079136690647,0.789820196853445,0.7419551552678487,0.7294205706308732
5,1,chi2,SimpleLogistic,0.7401079136690647,0.789820196853445,0.7419551552678487,0.7294205706308732
5,1,chi2,JRIP,0.49460431654676257,0.24752475247524752,0.49909255898366606,0.33092659446450057
6,1,chi2,NaiveBayes,0.7302158273381295,0.7780130093274423,0.7345950704225352,0.7204344328238133
6,1,chi2,KNN,0.4892086330935252,0.2446043165467626,0.5,0.3285024154589372
6,1,chi2,RandomForest,0.7302158273381295,0.7780130093274423,0.7345950704225352,0.7204344328238133
6,1,chi2,LogisticRegression,0.7302158273381295,0.7780130093274423,0.7345950704225352,0.7204344328238133
6,1,chi2,DecisionTree,0.7302158273381295,0.7780130093274423,0.7345950704225352,0.7204344328238133
6,1,chi2,SimpleLogistic,0.7302158273381295,0.7780130093274423,0.7345950704225352,0.7204344328238133
6,1,chi2,JRIP,0.48830935251798563,0.24437443744374437,0.4990808823529412,0.32809667673716014
7,1,chi2,NaiveBayes,0.7338129496402878,0.7862865617785118,0.742727508426238,0.7254568323841364
7,1,chi2,KNN,0.4784172661870504,0.2392086330935252,0.5,0.3236009732360097
7,1,chi2,RandomForest,0.7338129496402878,0.7862865617785118,0.742727508426238,0.7254568323841364
7,1,chi2,LogisticRegression,0.7338129496402878,0.7862865617785118,0.742727508426238,0.7254568323841364
7,1,chi2,DecisionTree,0.7338129496402878,0.7862865617785118,0.742727508426238,0.7254568323841364
7,1,chi2,SimpleLogistic,0.7338129496402878,0.7862865617785118,0.742727508426238,0.7254568323841364
7,1,chi2,JRIP,0.47751798561151076,0.23897389738973898,0.49906015037593987,0.32318928788800977
8,1,chi2,NaiveBayes,0.7419064748201439,0.7814988800398208,0.7344968334440143,0.7282824043053341
8,1,chi2,KNN,0.5188848920863309,0.25944244604316546,0.5,0.34162226169330967
8,1,chi2,RandomForest,0.7419064748201439,0.7814988800398208,0.7344968334440143,0.7282824043053341
8,1,chi2,LogisticRegression,0.7419064748201439,0.7814988800398208,0.7344968334440143,0.7282824043053341
8,1,chi2,DecisionTree,0.7419064748201439,0.7814988800398208,0.7344968334440143,0.7282824043053341
8,1,chi2,SimpleLogistic,0.7419064748201439,0.7814988800398208,0.7344968334440143,0.7282824043053341
8,1,chi2,JRIP,0.5179856115107914,0.25922592259225924,0.49913344887348354,0.34123222748815163
9,1,chi2,NaiveBayes,0.7526978417266187,0.7968908374225726,0.7397218676825447,0.7358288779292717
9,1,chi2,KNN,0.5314748201438849,0.26573741007194246,0.5,0.3470346447445684
9,1,chi2,RandomForest,0.7526978417266187,0.7968908374225726,0.7397218676825447,0.7358288779292717
9,1,chi2,LogisticRegression,0.7526978417266187,0.7968908374225726,0.7397218676825447,0.7358288779292717
9,1,chi2,DecisionTree,0.7526978417266187,0.7968908374225726,0.7397218676825447,0.7358288779292717
9,1,chi2,SimpleLogistic,0.7526978417266187,0.7968908374225726,0.7397218676825447,0.7358288779292717
9,1,chi2,JRIP,0.5305755395683454,0.26552655265526554,0.49915397631133673,0.34665099882491185
0,1,f_classif,NaiveBayes,0.7410071942446043,0.7872231453425862,0.737706880652311,0.728353509581456
0,1,f_classif,KNN,0.5080935251798561,0.25404676258992803,0.5,0.3369111508646392
0,1,f_classif,RandomForest,0.7410071942446043,0.7872231453425862,0.737706880652311,0.728353509581456
0,1,f_classif,LogisticRegression,0.7410071942446043,0.7872231453425862,0.737706880652311,0.728353509581456
0,1,f_classif,DecisionTree,0.7410071942446043,0.7872231453425862,0.737706880652311,0.728353509581456
0,1,f_classif,SimpleLogistic,0.7410071942446043,0.7872231453425862,0.737706880652311,0.728353509581456
0,1,f_classif,JRIP,0.5071942446043165,0.2538253825382538,0.49911504424778763,0.33651551312649164
1,1,f_classif,NaiveBayes,0.7401079136690647,0.7848828593868085,0.7493425895002384,0.7338133012176727
1,1,f_classif,KNN,0.47571942446043164,0.23785971223021582,0.5,0.3223644119439366
1,1,f_classif,RandomForest,0.7401079136690647,0.7848828593868085,0.7493425895002384,0.7338133012176727
1,1,f_classif,LogisticRegression,0.7401079136690647,0.7848828593868085,0.7493425895002384,0.7338133012176727
1,1,f_classif,DecisionTree,0.7401079136690647,0.7848828593868085,0.7493425895002384,0.7338133012176727
1,1,f_classif,SimpleLogistic,0.7401079136690647,0.7848828593868085,0.7493425895002384,0.7338133012176727
1,1,f_classif,JRIP,0.4748201438848921,0.2376237623762376,0.499054820415879,0.32195121951219513
2,1,f_classif,NaiveBayes,0.7598920863309353,0.8014291512511903,0.7504385438722208,0.7463432137685337
2,1,f_classif,KNN,0.5242805755395683,0.26214028776978415,0.5,0.343952802359882
2,1,f_classif,RandomForest,0.7598920863309353,0.8014291512511903,0.7504385438722208,0.7463432137685337
2,1,f_classif,LogisticRegression,0.7598920863309353,0.8014291512511903,0.7504385438722208,0.7463432137685337
2,1,f_classif,DecisionTree,0.7598920863309353,0.8014291512511903,0.7504385438722208,0.7463432137685337
2,1,f_classif,SimpleLogistic,0.7598920863309353,0.8014291512511903,0.7504385438722208,0.7463432137685337
2,1,f_classif,JRIP,0.5233812949640287,0.2619261926192619,0.49914236706689535,0.3435655253837072
3,1,f_classif,NaiveBayes,0.72931654676259,0.7731042404518044,0.7307453416149068,0.7188047909846016
3,1,f_classif,KNN,0.49640287769784175,0.24820143884892087,0.5,0.3317307692307692
3,1,f_classif,RandomForest,0.72931654676259,0.7731042404518044,0.7307453416149068,0.7188047909846016
3,1,f_classif,LogisticRegression,0.72931654676259,0.7731042404518044,0.7307453416149068,0.7188047909846016
3,1,f_classif,DecisionTree,0.72931654676259,0.7731042404518044,0.7307453416149068,0.7188047909846016
3,1,f_classif,SimpleLogistic,0.72931654676259,0.7731042404518044,0.7307453416149068,0.7188047909846016
3,1,f_classif,JRIP,0.49550359712230213,0.247974797479748,0.4990942028985507,0.3313289236319904
4,1,f_classif,NaiveBayes,0.7320143884892086,0.781484303565986,0.7393112562189055,0.7234218714527997
4,1,f_classif,KNN,0.48201438848920863,0.24100719424460432,0.5,0.3252427184466019
4,1,f_classif,RandomForest,0.7320143884892086,0.781484303565986,0.7393112562189055,0.7234218714527997
4,1,f_classif,LogisticRegression,0.7320143884892086,0.781484303565986,0.7393112562189055,0.7234218714527997
