SEND_SMS,RECEIVE_SMS,READ_SMS,GET_ACCOUNTS,WRITE_SMS,READ_PHONE_STATE,MANAGE_ACCOUNTS,USE_CREDENTIALS,WRITE_HISTORY_BOOKMARKS,INSTALL_PACKAGES,READ_SYNC_SETTINGS,CAMERA,AUTHENTICATE_ACCOUNTS,ACCESS_LOCATION_EXTRA_COMMANDS,class
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,1,0,1,1,0,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,1,0,1,1,0,0,0,1,0,0,0,1,1
1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
1,0,1,0,1,1,0,0,0,0,0,0,0,0,1
1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
0,1,1,0,1,1,0,0,0,1,0,0,0,0,1
1,1,1,0,1,1,0,0,0,1,0,0,0,0,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,0,1,1,0,1,0,0,1,0,0,0,0,1,1
0,0,0,1,0,1,0,0,1,1,0,0,0,0,1
1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,1,1,0,0,0,1,0,1,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
