API Call :: Landroid/os/Parcel.readBundle(),class
1,0
1,0
1,0
0,1
1,1
1,1
0,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
1,1
1,1
1,0
1,1
1,1
1,0
0,1
0,1
1,1
1,1
1,0
1,0
0,1
1,1
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
1,1
0,1
1,1
1,0
0,1
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,1
1,1
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
0,1
0,1
1,0
0,1
1,0
1,0
0,1
1,0
1,1
1,0
1,0
1,1
1,0
1,1
1,1
1,1
1,1
1,1
0,1
1,0
1,0
1,0
1,1
1,0
0,1
0,1
1,0
0,1
1,1
0,1
0,1
0,0
1,0
1,1
1,0
1,1
0,1
1,0
1,0
1,1
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
0,1
1,1
1,0
1,1
1,0
0,1
0,1
1,0
0,1
0,1
1,1
0,1
1,0
1,0
1,0
1,0
1,1
0,1
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,1
1,0
1,0
1,0
0,1
1,0
1,1
1,0
1,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,1
1,0
1,0
1,0
1,1
0,1
0,1
0,1
1,0
0,0
1,0
1,0
1,1
1,1
0,0
1,0
1,1
1,1
0,1
1,0
1,0
1,1
1,1
0,1
0,0
1,0
1,0
0,1
1,0
1,1
1,0
1,0
0,1
1,1
1,0
1,0
1,1
1,0
1,0
1,0
1,1
0,1
1,0
1,1
1,0
1,1
1,0
1,0
0,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
0,1
0,1
0,1
0,1
1,1
1,0
1,0
1,0
0,1
1,0
1,0
1,0
1,0
0,1
0,0
1,0
1,0
1,0
1,1
0,1
0,1
1,1
1,0
1,0
0,1
1,0
1,0
1,0
0,1
1,0
1,1
0,1
1,0
1,1
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,1
1,0
1,0
0,1
1,0
0,1
1,0
1,0
1,1
1,1
1,0
1,0
1,0
1,1
1,1
0,0
1,0
1,0
0,0
1,1
1,0
1,0
0,1
1,0
0,1
0,1
1,0
1,0
0,1
1,1
0,1
1,0
1,0
1,1
0,1
1,0
1,1
1,1
1,0
1,1
1,0
1,0
1,1
1,0
1,1
1,1
0,0
0,1
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
0,1
1,0
0,1
0,1
0,1
1,1
1,0
1,0
1,1
1,0
1,0
0,0
1,1
0,0
1,0
0,1
1,0
0,1
1,0
1,1
1,1
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
0,1
1,0
1,0
1,1
1,1
1,0
1,0
1,1
0,1
1,0
1,0
1,0
1,0
1,0
0,0
1,1
1,0
1,1
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,1
0,0
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,1
1,1
1,0
1,0
1,0
1,1
1,1
1,0
1,1
0,1
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,0
0,1
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,0
0,0
1,1
1,1
1,0
1,0
1,1
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,1
0,1
0,0
0,1
1,1
1,1
1,0
1,0
1,0
0,0
0,1
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
0,0
0,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,1
1,1
0,1
1,0
0,1
1,0
1,0
1,1
0,0
1,0
0,1
0,1
1,0
0,1
1,0
1,0
