n_fold,k,score_function,algorithm,accuracy,precision,recall,f-measure
0,1,chi2,NaiveBayes,0.7967625899280576,0.8234853549017069,0.7990681270324052,0.7932963099436754
0,1,chi2,KNN,0.5080935251798561,0.25404676258992803,0.5,0.3369111508646392
0,1,chi2,RandomForest,0.7967625899280576,0.8234853549017069,0.7990681270324052,0.7932963099436754
0,1,chi2,LogisticRegression,0.7967625899280576,0.8234853549017069,0.7990681270324052,0.7932963099436754
0,1,chi2,DecisionTree,0.7967625899280576,0.8234853549017069,0.7990681270324052,0.7932963099436754
0,1,chi2,SimpleLogistic,0.7967625899280576,0.8234853549017069,0.7990681270324052,0.7932963099436754
0,1,chi2,JRIP,0.5071942446043165,0.2538253825382538,0.49911504424778763,0.33651551312649164
1,1,chi2,NaiveBayes,0.8174460431654677,0.841993890863415,0.810754943953931,0.8115309312994945
1,1,chi2,KNN,0.47571942446043164,0.23785971223021582,0.5,0.3223644119439366
1,1,chi2,RandomForest,0.8174460431654677,0.841993890863415,0.810754943953931,0.8115309312994945
1,1,chi2,LogisticRegression,0.8174460431654677,0.841993890863415,0.810754943953931,0.8115309312994945
1,1,chi2,DecisionTree,0.8174460431654677,0.841993890863415,0.810754943953931,0.8115309312994945
1,1,chi2,SimpleLogistic,0.8174460431654677,0.841993890863415,0.810754943953931,0.8115309312994945
1,1,chi2,JRIP,0.4748201438848921,0.2376237623762376,0.499054820415879,0.32195121951219513
2,1,chi2,NaiveBayes,0.7877697841726619,0.8185750734092333,0.7951473215588492,0.7850095193779144
2,1,chi2,KNN,0.5242805755395683,0.26214028776978415,0.5,0.343952802359882
2,1,chi2,RandomForest,0.7877697841726619,0.8185750734092333,0.7951473215588492,0.7850095193779144
2,1,chi2,LogisticRegression,0.7877697841726619,0.8185750734092333,0.7951473215588492,0.7850095193779144
2,1,chi2,DecisionTree,0.7877697841726619,0.8185750734092333,0.7951473215588492,0.7850095193779144
2,1,chi2,SimpleLogistic,0.7877697841726619,0.8185750734092333,0.7951473215588492,0.7850095193779144
2,1,chi2,JRIP,0.5233812949640287,0.2619261926192619,0.49914236706689535,0.3435655253837072
3,1,chi2,NaiveBayes,0.7652877697841727,0.7961904174542078,0.7641174948240166,0.7584570251544848
3,1,chi2,KNN,0.49640287769784175,0.24820143884892087,0.5,0.3317307692307692
3,1,chi2,RandomForest,0.7652877697841727,0.7961904174542078,0.7641174948240166,0.7584570251544848
3,1,chi2,LogisticRegression,0.7652877697841727,0.7961904174542078,0.7641174948240166,0.7584570251544848
3,1,chi2,DecisionTree,0.7652877697841727,0.7961904174542078,0.7641174948240166,0.7584570251544848
3,1,chi2,SimpleLogistic,0.7652877697841727,0.7961904174542078,0.7641174948240166,0.7584570251544848
3,1,chi2,JRIP,0.49550359712230213,0.247974797479748,0.4990942028985507,0.3313289236319904
4,1,chi2,NaiveBayes,0.7913669064748201,0.8205172914850334,0.7857846185737977,0.7841007993787072
4,1,chi2,KNN,0.48201438848920863,0.24100719424460432,0.5,0.3252427184466019
4,1,chi2,RandomForest,0.7913669064748201,0.8205172914850334,0.7857846185737977,0.7841007993787072
4,1,chi2,LogisticRegression,0.7913669064748201,0.8205172914850334,0.7857846185737977,0.7841007993787072
4,1,chi2,DecisionTree,0.7913669064748201,0.8205172914850334,0.7857846185737977,0.7841007993787072
4,1,chi2,SimpleLogistic,0.7913669064748201,0.8205172914850334,0.7857846185737977,0.7841007993787072
4,1,chi2,JRIP,0.48111510791366907,0.24077407740774076,0.49906716417910446,0.32483302975106254
5,1,chi2,NaiveBayes,0.7778776978417267,0.8087852682701202,0.7764443840562127,0.7715548036752309
5,1,chi2,KNN,0.49550359712230213,0.24775179856115107,0.5,0.3313289236319904
5,1,chi2,RandomForest,0.7778776978417267,0.8087852682701202,0.7764443840562127,0.7715548036752309
5,1,chi2,LogisticRegression,0.7778776978417267,0.8087852682701202,0.7764443840562127,0.7715548036752309
5,1,chi2,DecisionTree,0.7778776978417267,0.8087852682701202,0.7764443840562127,0.7715548036752309
5,1,chi2,SimpleLogistic,0.7778776978417267,0.8087852682701202,0.7764443840562127,0.7715548036752309
5,1,chi2,JRIP,0.49460431654676257,0.24752475247524752,0.49909255898366606,0.33092659446450057
6,1,chi2,NaiveBayes,0.783273381294964,0.8153114707459321,0.7797742336371168,0.7761029556127568
6,1,chi2,KNN,0.4892086330935252,0.2446043165467626,0.5,0.3285024154589372
6,1,chi2,RandomForest,0.783273381294964,0.8153114707459321,0.7797742336371168,0.7761029556127568
6,1,chi2,LogisticRegression,0.783273381294964,0.8153114707459321,0.7797742336371168,0.7761029556127568
6,1,chi2,DecisionTree,0.783273381294964,0.8153114707459321,0.7797742336371168,0.7761029556127568
6,1,chi2,SimpleLogistic,0.783273381294964,0.8153114707459321,0.7797742336371168,0.7761029556127568
6,1,chi2,JRIP,0.48830935251798563,0.24437443744374437,0.4990808823529412,0.32809667673716014
7,1,chi2,NaiveBayes,0.8012589928057554,0.8340137630706874,0.7943155302048224,0.793391090877755
7,1,chi2,KNN,0.4784172661870504,0.2392086330935252,0.5,0.3236009732360097
7,1,chi2,RandomForest,0.8012589928057554,0.8340137630706874,0.7943155302048224,0.793391090877755
7,1,chi2,LogisticRegression,0.8012589928057554,0.8340137630706874,0.7943155302048224,0.793391090877755
7,1,chi2,DecisionTree,0.8012589928057554,0.8340137630706874,0.7943155302048224,0.793391090877755
7,1,chi2,SimpleLogistic,0.8012589928057554,0.8340137630706874,0.7943155302048224,0.793391090877755
7,1,chi2,JRIP,0.47751798561151076,0.23897389738973898,0.49906015037593987,0.32318928788800977
