API Call :: Landroid/telephony/SmsManager.divideMessage(),API Call :: Landroid/content/ContentResolver.openInputStream(),API Call :: Landroid/widget/VideoView.stopPlayback(),API Call :: Landroid/widget/ScrollView.setBackgroundDrawable(),API Call :: Landroid/widget/ImageButton.setImageResource(),API Call :: Landroid/content/pm/PackageManager$NameNotFoundException.printStackTrace(),API Call :: Landroid/widget/EditText.getEditableText(),Permission :: MOUNT_UNMOUNT_FILESYSTEMS,Permission :: ACCESS_WIFI_STATE,API Call :: Landroid/widget/Button.setVisibility(),API Call :: Landroid/content/res/AssetFileDescriptor.getLength(),API Call :: Landroid/os/Handler.init(),Permission :: CHANGE_WIFI_STATE,API Call :: Landroid/widget/ToggleButton.setTextOff(),Intent :: PACKAGE_ADDED,API Call :: Landroid/telephony/SignalStrength.getGsmSignalStrength(),Permission :: RECORD_AUDIO,API Call :: Landroid/os/Bundle.putBooleanArray(),class
0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0
0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0
0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0
0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0
0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0
0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0
0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0
0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0
0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0
0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0
0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0
0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0
0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0
0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0
0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0
0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0
0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0
0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0
0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0
0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0
0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0
0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0
0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0
0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0
0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0
0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0
0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0
0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0
0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0
0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0
0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0
0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0
0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0
0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0
1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0
0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0
0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0
0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0
0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0
0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0
0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0
0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
