transact,onServiceConnected,bindService,ServiceConnection,attachInterface,android.os.Binder,Ljava.lang.Class.getCanonicalName,Ljava.lang.Class.cast,Ljava.lang.Class.getMethods,Ljava.net.URLDecoder,android.content.pm.Signature,ClassLoader,android.telephony.SmsManager,Landroid.content.Context.unregisterReceiver,Landroid.content.Context.registerReceiver,Ljava.lang.Class.getField,getBinder,Ljava.lang.Class.getDeclaredField,Ljavax.crypto.spec.SecretKeySpec,getCallingUid,android.content.pm.PackageInfo,KeySpec,HttpGet.init,DexClassLoader,TelephonyManager.getLine1Number,SecretKey,Ljava.lang.Class.getMethod,System.loadLibrary,Ljavax.crypto.Cipher,android.intent.action.SEND,TelephonyManager.getSubscriberId,Runtime.getRuntime,Ljava.lang.Class.forName,Ljava.lang.Object.getClass,android.telephony.gsm.SmsManager,Binder,IBinder,android.os.IBinder,abortBroadcast,TelephonyManager.getDeviceId,URLClassLoader,getCallingPid,createSubprocess,Ljava.lang.Class.getPackage,Ljava.lang.Class.getDeclaredClasses,TelephonyManager.getSimSerialNumber,PathClassLoader,TelephonyManager.getCallState,Runtime.load,TelephonyManager.getSimCountryIso,HttpPost.init,sendMultipartTextMessage,Ljava.lang.Class.getClasses,PackageInstaller,TelephonyManager.isNetworkRoaming,HttpUriRequest,sendDataMessage,divideMessage,Runtime.exec,TelephonyManager.getNetworkOperator,IRemoteService,MessengerService,TelephonyManager.getSimOperator,ACCOUNT_MANAGER,SET_ALARM,ProcessBuilder,defineClass,Context.bindService,onBind,Ljava.lang.Class.getResource,Process.start,class
1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0
0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
