Accuracy,Precision,Recall,F1_Score,RoC_AuC,Modelo,Método LR,Método SigAPI,Método RFG,Método SigPID,Método JOWMDroid,Dataset,Combinação
95.24748232269124,71.71646977067408,36.29968343299332,48.201774871555344,67.68551607248726,SVM,0,1,0,1,1,sigpid_sigapi_jowmdroid,SigAPI + SigPID + JOWMDroid
96.14741804156846,74.40448388603457,56.032360182905386,63.92455858747994,77.39099470344986,SVM,0,0,1,1,0,sigpid_rfg,RFG + SigPID
95.2067709449325,69.52319587628865,37.95286669011608,49.10125142207053,68.43681165066874,SVM,1,1,0,0,1,lr_sigapi_jowmdroid,LR + SigAPI + JOWMDroid
95.08892221984144,67.16510903426791,37.9176925782624,48.47122302158273,68.35761873534018,SVM,1,1,0,0,0,lr_sigapi,LR + SigAPI
95.98885793871868,71.15468409586056,57.4393246570524,63.56558972362786,77.96442012623082,SVM,1,0,1,0,0,lr_rfg,LR + RFG
96.15598885793872,74.45221445221445,56.17305663032008,64.0336808340016,77.4613429271572,SVM,0,0,1,1,1,sigpid_rfg_jowmdroid,RFG + SigPID + JOWMDroid
96.01885579601456,71.5724923346474,57.47449876890609,63.75341396800624,77.996838222384,SVM,1,0,1,0,1,lr_rfg_jowmdroid,LR + RFG + JOWMDroid
95.41675594600386,72.42038216560509,39.99296517762927,51.52957171991842,69.50249486435254,SVM,0,1,0,1,0,sigpid_sigapi,SigAPI + SigPID
95.73816155988858,76.78795483061481,43.05311290889905,55.172413793103445,71.10444223262277,RF,0,1,0,1,1,sigpid_sigapi_jowmdroid,SigAPI + SigPID + JOWMDroid
97.7715877437326,85.42239685658153,76.46851916989095,80.69784706755753,87.81100451387057,RF,0,0,1,1,1,sigpid_rfg_jowmdroid,RFG + SigPID + JOWMDroid
97.66230983501178,83.87470997679814,76.29264861062258,79.90421808804568,87.67059016882008,RF,1,0,1,0,0,lr_rfg,LR + RFG
97.75658881508464,85.05074160811866,76.64438972915933,80.62904717853839,87.8852496025266,RF,1,0,1,0,1,lr_rfg_jowmdroid,LR + RFG + JOWMDroid
95.8281551317763,74.42748091603053,48.01266268026732,58.370750481077614,73.47127304273707,RF,1,1,0,0,1,lr_sigapi_jowmdroid,LR + SigAPI + JOWMDroid
95.60317120205698,71.74271577789995,45.90221596904679,55.984555984556,72.3647114709587,RF,1,1,0,0,0,lr_sigapi,LR + SigAPI
97.66445253910436,83.95970554048819,76.22230038691524,79.90412979351032,87.63883860471094,RF,0,0,1,1,0,sigpid_rfg,RFG + SigPID
95.51317763016928,72.96137339055794,41.85719310587408,53.19624497094322,70.4254820344895,RF,0,1,0,1,0,sigpid_sigapi,SigAPI + SigPID
97.53923915935088,97.9490022172949,95.34172661870504,96.62777980313524,97.08517314472608,SVM,0,1,0,0,1,lr_sigapi_jowmdroid,LR + SigAPI + JOWMDroid
96.66134610268688,97.07743857036486,93.794964028777,95.40797658251006,96.06907340316012,SVM,0,0,1,0,0,lr_rfg,LR + RFG
98.0047885075818,98.45246868091378,96.11510791366906,97.26974881689114,97.61432896738752,SVM,0,1,0,1,1,sigpid_sigapi_jowmdroid,SigAPI + SigPID + JOWMDroid
97.512636339452,98.3227730152814,94.89208633093526,96.57697235950944,96.97115924820297,SVM,0,0,1,1,0,sigpid_rfg,RFG + SigPID
96.8874700718276,97.28826151560176,94.20863309352518,95.72368421052632,96.3339493031999,SVM,0,0,1,0,1,lr_rfg_jowmdroid,LR + RFG + JOWMDroid
97.69220537376962,98.45696226064324,95.25179856115108,96.82786360727673,97.18795077909812,SVM,0,0,1,1,1,sigpid_rfg_jowmdroid,RFG + SigPID + JOWMDroid
97.26656025538706,97.7732417888291,94.7661870503597,96.2462325326514,96.74991496882696,SVM,0,1,0,0,0,lr_sigapi,LR + SigAPI
97.94493216280928,98.37847798046802,96.0251798561151,97.18758532811503,97.5482589867321,SVM,0,1,0,1,0,sigpid_sigapi,SigAPI + SigPID
99.3149773876031,99.42039485600436,98.72302158273382,99.07048100351956,99.19266317633948,RF,0,1,0,1,1,sigpid_sigapi_jowmdroid,SigAPI + SigPID + JOWMDroid
99.35488161745144,99.40314704286487,98.84892086330936,99.12525926593922,99.25033632865762,RF,0,0,1,1,1,sigpid_rfg_jowmdroid,RFG + SigPID + JOWMDroid
98.32402234636872,99.18458117123797,96.2589928057554,97.6998904709748,97.89733093221496,RF,0,1,0,0,0,lr_sigapi,LR + SigAPI
98.57674913540836,99.11797133406836,97.01438848920864,98.05489910925286,98.25392282206316,RF,0,1,0,0,1,lr_sigapi_jowmdroid,LR + SigAPI + JOWMDroid
98.35727587124236,98.66275874702326,96.87050359712232,97.75841727924494,98.0500681767798,RF,0,0,1,0,0,lr_rfg,LR + RFG
98.7829209896249,98.97977773729276,97.7158273381295,98.34374151506924,98.56243034276672,RF,0,0,1,0,1,lr_rfg_jowmdroid,LR + RFG + JOWMDroid
99.33492950252727,99.49238578680205,98.70503597122304,99.09714698447092,99.20477632246252,RF,0,0,1,1,0,sigpid_rfg,RFG + SigPID
99.28837456770415,99.49174078780176,98.57913669064747,99.0333363447466,99.14182668217474,RF,0,1,0,1,0,sigpid_sigapi,SigAPI + SigPID
95.87313401976594,95.89895988112929,63.46116027531957,76.37869822485207,81.57115683413168,SVM,0,1,0,1,1,sigpid_sigapi_jowmdroid,SigAPI + SigPID + JOWMDroid
97.70499937972956,94.97623896809232,82.53687315634218,88.32070707070706,91.01197300293023,SVM,0,0,1,1,0,sigpid_rfg,RFG + SigPID
95.87210023570276,95.87108272686766,63.47099311701082,76.37697450156779,81.57491801364739,SVM,1,1,0,0,1,lr_sigapi_jowmdroid,LR + SigAPI + JOWMDroid
95.87210023570276,95.87108272686766,63.47099311701082,76.37697450156779,81.57491801364739,SVM,1,1,0,0,0,lr_sigapi,LR + SigAPI
97.71430343629822,95.02206131915376,82.58603736479843,88.36866747330212,91.03886558981816,SVM,1,0,1,0,0,lr_rfg,LR + RFG
97.69776289128728,95.13581088760088,82.31071779744346,88.25979229268806,90.90813725412016,SVM,0,0,1,1,1,sigpid_rfg_jowmdroid,RFG + SigPID + JOWMDroid
97.70189802754,94.98471640439264,82.49754178957718,88.30184707677735,90.99288494021268,SVM,1,0,1,0,1,lr_rfg_jowmdroid,LR + RFG + JOWMDroid
